id,co2
41744,202
41745,212
41746,176
41747,210
41748,240
41749,213
41750,205
41751,205
41752,240
41753,205
41754,241
41755,205
41756,198
41757,285
41758,195
41759,151
41760,189
41761,193
41762,230
41763,214
41764,218
41765,216
41766,198
41767,217
41768,207
41769,191
41770,214
41771,190
41772,223
41773,195
41774,193
41775,221
41776,223
41777,210
41778,241
41779,195
41780,200
41781,223
41782,242
41783,126
41784,221
41785,205
41786,189
41787,211
41788,199
41789,223
41790,215
41791,176
41792,215
41793,215
41794,215
41795,195
41796,212
41797,218
41798,234
41799,216
41800,240
41801,236
41802,148
41803,217
41804,221
41805,252
41806,225
41807,216
41808,214
41809,205
41810,216
41811,114
41812,197
41813,212
41814,213
41815,212
41816,242
41817,193
41818,212
41819,205
41820,200
41821,224
41822,152
41823,211
41824,144
41825,193
41826,212
41827,213
41828,199
41829,226
41830,216
41831,198
41832,205
41833,217
41834,193
41835,216
41836,272
41837,210
41838,212
41839,221
41840,202
41841,212
41842,131
41843,205
41844,181
41845,221
41846,216
41847,106
41848,392
41849,202
41850,118
41851,218
41852,233
41853,200
41854,213
41855,205
41856,195
41857,148
41858,197
41859,195
41860,195
41861,213
41862,205
41863,211
41864,195
41865,242
41866,213
41867,190
41868,198
41869,213
41870,109
41871,285
41872,195
41873,195
41874,202
41875,130
41876,195
41877,211
41878,222
41879,199
41880,205
41881,225
41882,221
41883,205
41884,212
41885,195
41886,223
41887,231
41888,223
41889,215
41890,225
41891,227
41892,212
41893,221
41894,131
41895,190
41896,184
41897,153
41898,224
41899,200
41900,205
41901,231
41902,217
41903,304
41904,212
41905,195
41906,217
41907,235
41908,205
41909,190
41910,165
41911,212
41912,233
41913,193
41914,221
41915,193
41916,184
41917,233
41918,233
41919,218
41920,202
41921,153
41922,233
41923,212
41924,203
41925,128
41926,197
41927,138
41928,228
41929,132
41930,231
41931,197
41932,215
41933,205
41934,233
41935,200
41936,232
41937,233
41938,161
41939,234
41940,212
41941,198
41942,233
41943,235
41944,210
41945,221
41946,202
41947,228
41948,226
41949,133
41950,231
41951,212
41952,205
41953,215
41954,211
41955,200
41956,286
41957,102
41958,288
41959,308
41960,233
41961,210
41962,111
41963,222
41964,200
41965,133
41966,217
41967,207
41968,200
41969,200
41970,205
41971,215
41972,213
41973,230
41974,321
41975,215
41976,231
41977,205
41978,224
41979,221
41980,195
41981,143
41982,210
41983,208
41984,222
41985,233
41986,205
41987,221
41988,285
41989,237
41990,230
41991,215
41992,215
41993,205
41994,226
41995,200
41996,202
41997,195
41998,200
41999,133
42000,218
42001,234
42002,218
42003,212
42004,287
42005,218
42006,286
42007,205
42008,244
42009,224
42010,91
42011,125
42012,200
42013,212
42014,220
42015,247
42016,212
42017,194
42018,236
42019,233
42020,281
42021,213
42022,205
42023,200
42024,215
42025,205
42026,203
42027,195
42028,218
42029,193
42030,195
42031,192
42032,235
42033,218
42034,211
42035,202
42036,190
42037,193
42038,197
42039,218
42040,195
42041,236
42042,218
42043,240
42044,205
42045,200
42046,223
42047,210
42048,201
42049,240
42050,215
42051,204
42052,218
42053,233
42054,221
42055,224
42056,205
42057,224
42058,153
42059,193
42060,139
42061,227
42062,-1416
42063,286
42064,135
42065,184
42066,205
42067,221
42068,211
42069,103
42070,235
42071,217
42072,190
42073,205
42074,225
42075,194
42076,205
42077,123
42078,285
42079,197
42080,212
42081,206
42082,205
42083,210
42084,216
42085,198
42086,233
42087,158
42088,221
42089,216
42090,205
42091,231
42092,193
42093,212
42094,197
42095,241
42096,230
42097,205
42098,321
42099,213
42100,205
42101,193
42102,223
42103,202
42104,99
42105,197
42106,193
42107,212
42108,200
42109,212
42110,205
42111,228
42112,213
42113,200
42114,231
42115,184
42116,181
42117,205
42118,209
42119,198
42120,190
42121,153
42122,205
42123,200
42124,210
42125,205
42126,202
42127,222
42128,288
42129,215
42130,241
42131,216
42132,197
42133,177
42134,234
42135,152
42136,247
42137,195
42138,205
42139,221
42140,193
42141,128
42142,117
42143,223
42144,227
42145,210
42146,409
42147,125
42148,205
42149,212
42150,221
42151,202
42152,195
42153,193
42154,235
42155,217
42156,210
42157,165
42158,222
42159,205
42160,218
42161,210
42162,223
42163,227
42164,216
42165,228
42166,235
42167,215
42168,199
42169,235
42170,190
42171,237
42172,195
42173,231
42174,118
42175,195
42176,185
42177,205
42178,213
42179,197
42180,211
42181,205
42182,160
42183,221
42184,212
42185,281
42186,210
42187,233
42188,218
42189,217
42190,149
42191,199
42192,220
42193,190
42194,223
42195,221
42196,199
42197,205
42198,200
42199,190
42200,195
42201,127
42202,223
42203,205
42204,216
42205,205
42206,274
42207,234
42208,234
42209,195
42210,215
42211,218
42212,218
42213,218
42214,200
42215,199
42216,200
42217,212
42218,241
42219,198
42220,212
42221,192
42222,215
42223,210
42224,103
42225,100
42226,199
42227,216
42228,192
42229,221
42230,220
42231,285
42232,216
42233,218
42234,222
42235,215
42236,301
42237,285
42238,205
42239,213
42240,128
42241,200
42242,217
42243,232
42244,306
42245,203
42246,223
42247,190
42248,144
42249,218
42250,133
42251,247
42252,235
42253,197
42254,215
42255,136
42256,221
42257,233
42258,212
42259,217
42260,205
42261,212
42262,205
42263,199
42264,200
42265,158
42266,215
42267,217
42268,247
42269,210
42270,205
42271,217
42272,193
42273,200
42274,200
42275,193
42276,221
42277,210
42278,200
42279,225
42280,212
42281,105
42282,236
42283,212
42284,213
42285,200
42286,142
42287,281
42288,136
42289,200
42290,199
42291,221
42292,213
42293,216
42294,139
42295,286
42296,142
42297,197
42298,186
42299,213
42300,218
42301,197
42302,290
42303,161
42304,217
42305,193
42306,191
42307,244
42308,218
42309,138
42310,218
42311,193
42312,213
42313,233
42314,193
42315,218
42316,200
42317,218
42318,107
42319,114
42320,190
42321,184
42322,200
42323,202
42324,212
42325,272
42326,184
42327,215
42328,213
42329,233
42330,205
42331,213
42332,114
42333,223
42334,195
42335,194
42336,138
42337,215
42338,193
42339,205
42340,149
42341,184
42342,130
42343,195
42344,212
42345,218
42346,210
42347,212
42348,197
42349,222
42350,212
42351,221
42352,206
42353,235
42354,198
42355,212
42356,212
42357,221
42358,200
42359,285
42360,211
42361,221
42362,217
42363,225
42364,247
42365,409
42366,215
42367,195
42368,236
42369,214
42370,172
42371,211
42372,216
42373,202
42374,122
42375,200
42376,208
42377,128
42378,208
42379,210
42380,191
42381,193
42382,144
42383,225
42384,215
42385,231
42386,216
42387,221
42388,286
42389,197
42390,193
42391,205
42392,217
42393,205
42394,213
42395,281
42396,227
42397,244
42398,221
42399,167
42400,212
42401,213
42402,222
42403,135
42404,189
42405,217
42406,198
42407,205
42408,129
42409,192
42410,216
42411,205
42412,163
42413,213
42414,205
42415,215
42416,216
42417,210
42418,197
42419,242
42420,213
42421,205
42422,221
42423,200
42424,218
42425,193
42426,218
42427,233
42428,332
42429,193
42430,131
42431,214
42432,193
42433,242
42434,199
42435,231
42436,199
42437,218
42438,107
42439,212
42440,193
42441,202
42442,213
42443,200
42444,108
42445,233
42446,115
42447,130
42448,216
42449,167
42450,202
42451,210
42452,195
42453,223
42454,205
42455,218
42456,272
42457,171
42458,224
42459,189
42460,187
42461,221
42462,119
42463,202
42464,218
42465,198
42466,211
42467,242
42468,181
42469,233
42470,236
42471,285
42472,200
42473,200
42474,211
42475,240
42476,198
42477,213
42478,200
42479,195
42480,214
42481,279
42482,215
42483,216
42484,128
42485,210
42486,215
42487,160
42488,210
42489,199
42490,205
42491,191
42492,190
42493,208
42494,200
42495,141
42496,183
42497,202
42498,210
42499,231
42500,246
42501,212
42502,200
42503,205
42504,202
42505,200
42506,212
42507,233
42508,221
42509,197
42510,200
42511,203
42512,212
42513,125
42514,205
42515,213
42516,227
42517,200
42518,272
42519,233
42520,225
42521,198
42522,213
42523,217
42524,173
42525,210
42526,218
42527,212
42528,204
42529,218
42530,205
42531,222
42532,233
42533,193
42534,233
42535,213
42536,221
42537,233
42538,191
42539,114
42540,197
42541,218
42542,225
42543,128
42544,205
42545,200
42546,222
42547,197
42548,222
42549,202
42550,151
42551,190
42552,205
42553,205
42554,200
42555,202
42556,233
42557,198
42558,211
42559,224
42560,200
42561,211
42562,285
42563,190
42564,203
42565,215
42566,212
42567,225
42568,128
42569,215
42570,184
42571,224
42572,200
42573,200
42574,209
42575,225
42576,225
42577,256
42578,210
42579,215
42580,213
42581,195
42582,295
42583,114
42584,303
42585,216
42586,200
42587,205
42588,224
42589,126
42590,216
42591,223
42592,200
42593,212
42594,221
42595,184
42596,128
42597,197
42598,285
42599,121
42600,233
42601,195
42602,213
42603,195
42604,200
42605,212
42606,209
42607,217
42608,134
42609,214
42610,195
42611,221
42612,211
42613,223
42614,216
42615,212
42616,184
42617,242
42618,189
42619,202
42620,163
42621,213
42622,211
42623,233
42624,226
42625,215
42626,216
42627,210
42628,202
42629,217
42630,217
42631,195
42632,244
42633,233
42634,212
42635,212
42636,212
42637,234
42638,205
42639,195
42640,242
42641,213
42642,139
42643,231
42644,215
42645,285
42646,193
42647,197
42648,217
42649,195
42650,193
42651,123
42652,221
42653,212
42654,198
42655,163
42656,213
42657,236
42658,221
42659,221
42660,212
42661,213
42662,242
42663,187
42664,215
42665,205
42666,212
42667,195
42668,234
42669,198
42670,212
42671,210
42672,190
42673,221
42674,225
42675,207
42676,242
42677,200
42678,205
42679,218
42680,216
42681,216
42682,210
42683,225
42684,195
42685,213
42686,233
42687,202
42688,221
42689,195
42690,217
42691,215
42692,196
42693,200
42694,233
42695,198
42696,216
42697,243
42698,135
42699,222
42700,259
42701,195
42702,218
42703,182
42704,205
42705,212
42706,212
42707,169
42708,205
42709,218
42710,225
42711,211
42712,135
42713,148
42714,195
42715,205
42716,198
42717,213
42718,221
42719,115
42720,216
42721,195
42722,132
42723,198
42724,192
42725,197
42726,236
42727,212
42728,221
42729,197
42730,205
42731,208
42732,217
42733,200
42734,225
42735,202
42736,221
42737,218
42738,234
42739,222
42740,212
42741,200
42742,200
42743,202
42744,218
42745,216
42746,208
42747,212
42748,205
42749,212
42750,197
42751,235
42752,205
42753,202
42754,198
42755,184
42756,200
42757,225
42758,212
42759,141
42760,139
42761,212
42762,198
42763,213
42764,168
42765,184
42766,223
42767,285
42768,217
42769,218
42770,205
42771,233
42772,131
42773,233
42774,103
42775,190
42776,197
42777,198
42778,200
42779,218
42780,211
42781,140
42782,184
42783,234
42784,230
42785,227
42786,212
42787,189
42788,210
42789,148
42790,200
42791,224
42792,285
42793,127
42794,212
42795,233
42796,212
42797,202
42798,145
42799,210
42800,222
42801,193
42802,184
42803,205
42804,200
42805,222
42806,130
42807,213
42808,211
42809,220
42810,212
42811,211
42812,128
42813,206
42814,213
42815,215
42816,244
42817,286
42818,211
42819,135
42820,195
42821,215
42822,221
42823,235
42824,205
42825,205
42826,109
42827,202
42828,221
42829,211
42830,285
42831,200
42832,215
42833,235
42834,130
42835,233
42836,178
42837,212
42838,200
42839,195
42840,159
42841,205
42842,222
42843,212
42844,222
42845,191
42846,233
42847,190
42848,231
42849,221
42850,191
42851,221
42852,213
42853,213
42854,123
42855,202
42856,216
42857,138
42858,221
42859,193
42860,222
42861,221
42862,189
42863,236
42864,157
42865,213
42866,221
42867,127
42868,203
42869,190
42870,233
42871,96
42872,124
42873,205
42874,216
42875,216
42876,220
42877,212
42878,199
42879,195
42880,213
42881,184
42882,212
42883,212
42884,217
42885,205
42886,224
42887,216
42888,199
42889,218
42890,212
42891,220
42892,212
42893,213
42894,231
42895,158
42896,129
42897,203
42898,200
42899,222
42900,200
42901,218
42902,193
42903,205
42904,213
42905,190
42906,108
42907,195
42908,200
42909,142
42910,224
42911,205
42912,285
42913,197
42914,203
42915,205
42916,115
42917,218
42918,163
42919,206
42920,202
42921,223
42922,285
42923,216
42924,220
42925,213
42926,205
42927,210
42928,228
42929,217
42930,200
42931,193
42932,205
42933,222
42934,225
42935,199
42936,215
42937,247
42938,212
42939,208
42940,212
42941,222
42942,200
42943,200
42944,193
42945,193
42946,205
42947,233
42948,112
42949,272
42950,233
42951,208
42952,222
42953,247
42954,205
42955,223
42956,212
42957,223
42958,233
42959,190
42960,205
42961,190
42962,210
42963,221
42964,312
42965,217
42966,231
42967,205
42968,187
42969,221
42970,212
42971,199
42972,225
42973,225
42974,140
42975,231
42976,145
42977,210
42978,124
42979,212
42980,211
42981,193
42982,286
42983,218
42984,205
42985,231
42986,212
42987,195
42988,212
42989,240
42990,216
42991,195
42992,216
42993,213
42994,205
42995,212
42996,205
42997,195
42998,212
42999,184
43000,140
43001,190
43002,195
43003,208
43004,221
43005,215
43006,216
43007,236
43008,212
43009,212
43010,210
43011,200
43012,236
43013,106
43014,223
43015,184
43016,190
43017,197
43018,128
43019,285
43020,197
43021,212
43022,195
43023,233
43024,218
43025,184
43026,286
43027,193
43028,212
43029,205
43030,142
43031,218
43032,192
43033,210
43034,197
43035,216
43036,221
43037,212
43038,94
43039,217
43040,221
43041,197
43042,210
43043,217
43044,214
43045,215
43046,184
43047,218
43048,223
43049,205
43050,193
43051,211
43052,199
43053,218
43054,213
43055,233
43056,199
43057,193
43058,241
43059,197
43060,197
43061,210
43062,198
43063,230
43064,217
43065,204
43066,190
43067,233
43068,198
43069,208
43070,233
43071,205
43072,222
43073,212
43074,205
43075,211
43076,205
43077,215
43078,227
43079,221
43080,191
43081,205
43082,189
43083,195
43084,346
43085,223
43086,212
43087,223
43088,97
43089,190
43090,212
43091,198
43092,221
43093,221
43094,272
43095,216
43096,190
43097,223
43098,215
43099,236
43100,228
43101,215
43102,224
43103,221
43104,221
43105,221
43106,195
43107,213
43108,216
43109,220
43110,197
43111,217
43112,242
43113,200
43114,235
43115,184
43116,205
43117,215
43118,221
43119,235
43120,230
43121,199
43122,195
43123,184
43124,212
43125,184
43126,233
43127,205
43128,205
43129,305
43130,222
43131,218
43132,140
43133,233
43134,193
43135,205
43136,174
43137,215
43138,234
43139,222
43140,223
43141,118
43142,215
43143,205
43144,285
43145,212
43146,200
43147,221
43148,195
43149,216
43150,195
43151,158
43152,195
43153,202
43154,193
43155,200
43156,181
43157,135
43158,162
43159,212
43160,247
43161,200
43162,193
43163,211
43164,215
43165,138
43166,184
43167,215
43168,208
43169,226
43170,210
43171,233
43172,235
43173,189
43174,241
43175,212
43176,218
43177,129
43178,193
43179,199
43180,135
43181,234
43182,130
43183,190
43184,226
43185,193
43186,212
43187,213
43188,225
43189,200
43190,202
43191,218
43192,190
43193,197
43194,221
43195,212
43196,116
43197,274
43198,189
43199,202
43200,226
43201,236
43202,200
43203,224
43204,196
43205,210
43206,241
43207,212
43208,242
43209,198
43210,228
43211,193
43212,231
43213,132
43214,235
43215,212
43216,208
43217,146
43218,200
43219,195
43220,233
43221,145
43222,223
43223,212
43224,184
43225,200
43226,200
43227,215
43228,197
43229,272
43230,202
43231,213
43232,236
43233,214
43234,286
43235,224
43236,215
43237,223
43238,224
43239,207
43240,147
43241,204
43242,210
43243,206
43244,218
43245,234
43246,127
43247,214
43248,202
43249,200
43250,184
43251,155
43252,212
43253,210
43254,122
43255,221
43256,231
43257,223
43258,138
43259,193
43260,221
43261,215
43262,212
43263,193
43264,205
43265,205
43266,200
43267,201
43268,86
43269,242
43270,198
43271,205
43272,281
43273,205
43274,202
43275,213
43276,218
43277,210
43278,215
43279,225
43280,198
43281,208
43282,213
43283,213
43284,281
43285,218
43286,195
43287,138
43288,212
43289,200
43290,221
43291,134
43292,184
43293,208
43294,221
43295,129
43296,160
43297,212
43298,230
43299,200
43300,200
43301,213
43302,195
43303,230
43304,236
43305,190
43306,208
43307,189
43308,166
43309,221
43310,120
43311,236
43312,205
43313,216
43314,202
43315,210
43316,235
43317,233
43318,221
43319,190
43320,227
43321,242
43322,200
43323,214
43324,206
43325,241
43326,222
43327,199
43328,200
43329,200
43330,193
43331,145
43332,185
43333,200
43334,211
43335,198
43336,353
43337,205
43338,192
43339,202
43340,156
43341,190
43342,146
43343,224
43344,195
43345,242
43346,171
43347,195
43348,119
43349,215
43350,195
43351,231
43352,162
43353,193
43354,195
43355,218
43356,235
43357,244
43358,212
43359,205
43360,205
43361,210
43362,198
43363,233
43364,191
43365,215
43366,200
43367,144
43368,321
43369,113
43370,201
43371,233
43372,211
43373,198
43374,240
43375,159
43376,208
43377,211
43378,212
43379,218
43380,212
43381,233
43382,148
43383,134
43384,231
43385,217
43386,221
43387,214
43388,221
43389,216
43390,195
43391,193
43392,149
43393,231
43394,236
43395,195
43396,200
43397,218
43398,231
43399,212
43400,236
43401,221
43402,120
43403,231
43404,202
43405,151
43406,202
43407,205
43408,198
43409,216
43410,146
43411,192
43412,225
43413,198
43414,225
43415,195
43416,128
43417,204
43418,210
43419,240
43420,212
43421,197
43422,205
43423,200
43424,274
43425,200
43426,205
43427,220
43428,233
43429,202
43430,225
43431,200
43432,212
43433,116
43434,208
43435,212
43436,212
43437,195
43438,202
43439,215
43440,218
43441,221
43442,190
43443,213
43444,195
43445,212
43446,223
43447,231
43448,215
43449,138
43450,202
43451,212
43452,195
43453,212
43454,162
43455,233
43456,205
43457,184
43458,239
43459,303
43460,195
43461,123
43462,216
43463,180
43464,212
43465,216
43466,202
43467,210
43468,200
43469,236
43470,277
43471,195
43472,236
43473,201
43474,200
43475,202
43476,94
43477,199
43478,205
43479,193
43480,228
43481,212
43482,212
43483,212
43484,110
43485,235
43486,231
43487,197
43488,205
43489,215
43490,212
43491,217
43492,235
43493,212
43494,200
43495,127
43496,205
43497,133
43498,210
43499,200
43500,305
43501,200
43502,212
43503,195
43504,214
43505,124
43506,194
43507,199
43508,197
43509,205
43510,244
43511,210
43512,205
43513,208
43514,103
43515,210
43516,212
43517,205
43518,208
43519,233
43520,218
43521,233
43522,215
43523,223
43524,242
43525,223
43526,218
43527,215
43528,221
43529,195
43530,222
43531,195
43532,218
43533,223
43534,192
43535,212
43536,204
43537,114
43538,205
43539,215
43540,215
43541,222
43542,198
43543,285
43544,220
43545,221
43546,195
43547,212
43548,104
43549,199
43550,229
43551,197
43552,233
43553,213
43554,228
43555,202
43556,212
43557,213
43558,205
43559,259
43560,224
43561,200
43562,110
43563,202
43564,178
43565,118
43566,216
43567,221
43568,212
43569,231
43570,234
43571,184
43572,224
43573,195
43574,221
43575,198
43576,227
43577,262
43578,205
43579,205
43580,123
43581,285
43582,210
43583,205
43584,221
43585,235
43586,213
43587,193
43588,202
43589,128
43590,193
43591,221
43592,193
43593,216
43594,198
43595,222
43596,235
43597,244
43598,193
43599,119
43600,193
43601,211
43602,205
43603,213
43604,321
43605,199
43606,190
43607,212
43608,210
43609,201
43610,227
43611,190
43612,240
43613,211
43614,212
43615,190
43616,212
43617,208
43618,101
43619,236
43620,240
43621,195
43622,205
43623,200
43624,133
43625,142
43626,321
43627,227
43628,202
43629,197
43630,192
43631,124
43632,157
43633,286
43634,131
43635,233
43636,206
43637,212
43638,281
43639,205
43640,205
43641,195
43642,241
43643,212
43644,233
43645,202
43646,198
43647,233
43648,231
43649,167
43650,285
43651,213
43652,224
43653,200
43654,205
43655,123
43656,190
43657,202
43658,210
43659,203
43660,205
43661,221
43662,205
43663,234
43664,150
43665,216
43666,208
43667,197
43668,226
43669,231
43670,221
43671,197
43672,218
43673,220
43674,228
43675,212
43676,205
43677,213
43678,216
43679,202
43680,199
43681,220
43682,205
43683,200
43684,233
43685,205
43686,113
43687,273
43688,202
43689,213
43690,127
43691,222
43692,212
43693,281
43694,228
43695,193
43696,202
43697,199
43698,198
43699,221
43700,240
43701,205
43702,200
43703,234
43704,240
43705,193
43706,108
43707,212
43708,228
43709,200
43710,137
43711,158
43712,212
43713,146
43714,218
43715,281
43716,228
43717,129
43718,213
43719,205
43720,231
43721,211
43722,154
43723,129
43724,210
43725,231
43726,197
43727,233
43728,164
43729,230
43730,148
43731,193
43732,197
43733,221
43734,213
43735,184
43736,233
43737,197
43738,134
43739,195
43740,210
43741,213
43742,205
43743,212
43744,200
43745,193
43746,195
43747,166
43748,215
43749,178
43750,233
43751,285
43752,221
43753,171
43754,165
43755,193
43756,144
43757,199
43758,222
43759,124
43760,200
43761,212
43762,200
43763,138
43764,216
43765,210
43766,228
43767,224
43768,220
43769,233
43770,197
43771,135
43772,210
43773,230
43774,222
43775,210
43776,215
43777,205
43778,205
43779,224
43780,218
43781,212
43782,224
43783,195
43784,215
43785,225
43786,233
43787,210
43788,221
43789,222
43790,217
43791,225
43792,211
43793,221
43794,197
43795,184
43796,214
43797,200
43798,198
43799,200
43800,205
43801,212
43802,193
43803,200
43804,197
43805,199
43806,205
43807,285
43808,161
43809,231
43810,215
43811,202
43812,190
43813,149
43814,215
43815,217
43816,215
43817,190
43818,216
43819,212
43820,233
43821,222
43822,285
43823,285
43824,212
43825,212
43826,212
43827,212
43828,210
43829,202
43830,227
43831,227
43832,217
43833,227
43834,125
43835,200
43836,212
43837,216
43838,202
43839,235
43840,205
43841,199
43842,124
43843,199
43844,205
43845,137
43846,223
43847,214
43848,203
43849,236
43850,218
43851,200
43852,197
43853,115
43854,223
43855,231
43856,227
43857,195
43858,218
43859,199
43860,200
43861,205
43862,218
43863,184
43864,205
43865,212
43866,195
43867,112
43868,228
43869,205
43870,197
43871,148
43872,210
43873,193
43874,205
43875,190
43876,184
43877,148
43878,195
43879,231
43880,205
43881,281
43882,213
43883,213
43884,143
43885,202
43886,216
43887,213
43888,227
43889,202
43890,212
43891,191
43892,153
43893,216
43894,198
43895,198
43896,195
43897,199
43898,210
43899,134
43900,221
43901,206
43902,217
43903,213
43904,213
43905,213
43906,222
43907,205
43908,221
43909,157
43910,281
43911,126
43912,216
43913,126
43914,200
43915,202
43916,211
43917,221
43918,213
43919,193
43920,202
43921,205
43922,144
43923,215
43924,205
43925,205
43926,200
43927,205
43928,205
43929,143
43930,233
43931,190
43932,219
43933,215
43934,184
43935,234
43936,195
43937,236
43938,236
43939,221
43940,221
43941,195
43942,178
43943,114
43944,233
43945,227
43946,236
43947,210
43948,200
43949,202
43950,235
43951,128
43952,354
43953,221
43954,205
43955,213
43956,193
43957,200
43958,193
43959,212
43960,197
43961,240
43962,154
43963,235
43964,200
43965,184
43966,216
43967,198
43968,235
43969,213
43970,134
43971,214
43972,212
43973,205
43974,274
43975,206
43976,212
43977,108
43978,226
43979,189
43980,218
43981,184
43982,202
43983,221
43984,200
43985,199
43986,210
43987,193
43988,217
43989,184
43990,145
43991,221
43992,195
43993,215
43994,197
43995,195
43996,218
43997,218
43998,211
43999,224
44000,205
44001,220
44002,235
44003,234
44004,224
44005,197
44006,210
44007,161
44008,200
44009,212
44010,233
44011,213
44012,221
44013,200
44014,195
44015,191
44016,217
44017,272
44018,225
44019,227
44020,119
44021,212
44022,113
44023,113
44024,204
44025,205
44026,231
44027,224
44028,200
44029,240
44030,217
44031,221
44032,200
44033,198
44034,223
44035,214
44036,128
44037,213
44038,211
44039,200
44040,281
44041,205
44042,241
44043,197
44044,205
44045,226
44046,205
44047,112
44048,273
44049,389
44050,200
44051,203
44052,210
44053,200
